WY_wk_num,day,month
1,1,Oct
1,2,Oct
1,3,Oct
1,4,Oct
1,5,Oct
1,6,Oct
1,7,Oct
1,8,Oct
2,9,Oct
2,10,Oct
2,11,Oct
2,12,Oct
2,13,Oct
2,14,Oct
2,15,Oct
3,16,Oct
3,17,Oct
3,18,Oct
3,19,Oct
3,20,Oct
3,21,Oct
3,22,Oct
3,23,Oct
4,24,Oct
4,25,Oct
4,26,Oct
4,27,Oct
4,28,Oct
4,29,Oct
4,30,Oct
4,31,Oct
5,1,Nov
5,2,Nov
5,3,Nov
5,4,Nov
5,5,Nov
5,6,Nov
5,7,Nov
5,8,Nov
6,9,Nov
6,10,Nov
6,11,Nov
6,12,Nov
6,13,Nov
6,14,Nov
6,15,Nov
7,16,Nov
7,17,Nov
7,18,Nov
7,19,Nov
7,20,Nov
7,21,Nov
7,22,Nov
7,23,Nov
8,24,Nov
8,25,Nov
8,26,Nov
8,27,Nov
8,28,Nov
8,29,Nov
8,30,Nov
9,1,Dec
9,2,Dec
9,3,Dec
9,4,Dec
9,5,Dec
9,6,Dec
9,7,Dec
9,8,Dec
10,9,Dec
10,10,Dec
10,11,Dec
10,12,Dec
10,13,Dec
10,14,Dec
10,15,Dec
11,16,Dec
11,17,Dec
11,18,Dec
11,19,Dec
11,20,Dec
11,21,Dec
11,22,Dec
11,23,Dec
12,24,Dec
12,25,Dec
12,26,Dec
12,27,Dec
12,28,Dec
12,29,Dec
12,30,Dec
12,31,Dec
13,1,Jan
13,2,Jan
13,3,Jan
13,4,Jan
13,5,Jan
13,6,Jan
13,7,Jan
13,8,Jan
14,9,Jan
14,10,Jan
14,11,Jan
14,12,Jan
14,13,Jan
14,14,Jan
14,15,Jan
15,16,Jan
15,17,Jan
15,18,Jan
15,19,Jan
15,20,Jan
15,21,Jan
15,22,Jan
15,23,Jan
16,24,Jan
16,25,Jan
16,26,Jan
16,27,Jan
16,28,Jan
16,29,Jan
16,30,Jan
16,31,Jan
17,1,Feb
17,2,Feb
17,3,Feb
17,4,Feb
17,5,Feb
17,6,Feb
17,7,Feb
17,8,Feb
18,9,Feb
18,10,Feb
18,11,Feb
18,12,Feb
18,13,Feb
18,14,Feb
18,15,Feb
19,16,Feb
19,17,Feb
19,18,Feb
19,19,Feb
19,20,Feb
19,21,Feb
19,22,Feb
19,23,Feb
20,24,Feb
20,25,Feb
20,26,Feb
20,27,Feb
20,28,Feb
20,29,Feb
21,1,Mar
21,2,Mar
21,3,Mar
21,4,Mar
21,5,Mar
21,6,Mar
21,7,Mar
21,8,Mar
22,9,Mar
22,10,Mar
22,11,Mar
22,12,Mar
22,13,Mar
22,14,Mar
22,15,Mar
23,16,Mar
23,17,Mar
23,18,Mar
23,19,Mar
23,20,Mar
23,21,Mar
23,22,Mar
23,23,Mar
24,24,Mar
24,25,Mar
24,26,Mar
24,27,Mar
24,28,Mar
24,29,Mar
24,30,Mar
24,31,Mar
25,1,Apr
25,2,Apr
25,3,Apr
25,4,Apr
25,5,Apr
25,6,Apr
25,7,Apr
25,8,Apr
26,9,Apr
26,10,Apr
26,11,Apr
26,12,Apr
26,13,Apr
26,14,Apr
26,15,Apr
27,16,Apr
27,17,Apr
27,18,Apr
27,19,Apr
27,20,Apr
27,21,Apr
27,22,Apr
27,23,Apr
28,24,Apr
28,25,Apr
28,26,Apr
28,27,Apr
28,28,Apr
28,29,Apr
28,30,Apr
29,1,May
29,2,May
29,3,May
29,4,May
29,5,May
29,6,May
29,7,May
29,8,May
30,9,May
30,10,May
30,11,May
30,12,May
30,13,May
30,14,May
30,15,May
31,16,May
31,17,May
31,18,May
31,19,May
31,20,May
31,21,May
31,22,May
31,23,May
32,24,May
32,25,May
32,26,May
32,27,May
32,28,May
32,29,May
32,30,May
32,31,May
33,1,Jun
33,2,Jun
33,3,Jun
33,4,Jun
33,5,Jun
33,6,Jun
33,7,Jun
33,8,Jun
34,9,Jun
34,10,Jun
34,11,Jun
34,12,Jun
34,13,Jun
34,14,Jun
34,15,Jun
35,16,Jun
35,17,Jun
35,18,Jun
35,19,Jun
35,20,Jun
35,21,Jun
35,22,Jun
35,23,Jun
36,24,Jun
36,25,Jun
36,26,Jun
36,27,Jun
36,28,Jun
36,29,Jun
36,30,Jun
37,1,Jul
37,2,Jul
37,3,Jul
37,4,Jul
37,5,Jul
37,6,Jul
37,7,Jul
37,8,Jul
38,9,Jul
38,10,Jul
38,11,Jul
38,12,Jul
38,13,Jul
38,14,Jul
38,15,Jul
39,16,Jul
39,17,Jul
39,18,Jul
39,19,Jul
39,20,Jul
39,21,Jul
39,22,Jul
39,23,Jul
40,24,Jul
40,25,Jul
40,26,Jul
40,27,Jul
40,28,Jul
40,29,Jul
40,30,Jul
40,31,Jul
41,1,Aug
41,2,Aug
41,3,Aug
41,4,Aug
41,5,Aug
41,6,Aug
41,7,Aug
41,8,Aug
42,9,Aug
42,10,Aug
42,11,Aug
42,12,Aug
42,13,Aug
42,14,Aug
42,15,Aug
43,16,Aug
43,17,Aug
43,18,Aug
43,19,Aug
43,20,Aug
43,21,Aug
43,22,Aug
43,23,Aug
44,24,Aug
44,25,Aug
44,26,Aug
44,27,Aug
44,28,Aug
44,29,Aug
44,30,Aug
44,31,Aug
45,1,Sep
45,2,Sep
45,3,Sep
45,4,Sep
45,5,Sep
45,6,Sep
45,7,Sep
45,8,Sep
46,9,Sep
46,10,Sep
46,11,Sep
46,12,Sep
46,13,Sep
46,14,Sep
46,15,Sep
47,16,Sep
47,17,Sep
47,18,Sep
47,19,Sep
47,20,Sep
47,21,Sep
47,22,Sep
47,23,Sep
48,24,Sep
48,25,Sep
48,26,Sep
48,27,Sep
48,28,Sep
48,29,Sep
48,30,Sep